Office ID,"Office Name",Web Address,Main,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
1,"Outside Sales/not Aiken Mls",,,,"","",,
3,"Aiken Properties, Inc.",,8036425840,,"211 Silver Bluff Rd","Aiken",SC,29803
4,"Henry Garrett Realty",,7067360891,,"3540 Wheeler Road, Suite 112","Augusta",GA,30909
6,"Bondor Realty Group",,8036421008,,"7 Oakmont Lane","Aiken",SC,29803
8,"Furtick Realty, Inc.",www.FurtickRealty.com,8665587669,,"143 Homestead Plantation","Salley",SC,29137
10,"Don Toole, Appraiser",,8036421353,,"204 Lakewood Circle","North Augusta",SC,29841
12,"May Appraisal Co.",,7068680612,,"573 Blue Ridge Crossing","Evans",GA,30809
19,"Real Estate One",,8036447955,,"PO BOX 6076","Aiken",SC,29803
23,"Accredited Key Appraisals Inc.",,0,,"4006 Backman Road","West Columbia",SC,29171
24,"Prudential Beazley Real Estate",www.PruBeazleyRealEstate.com,7068634304,,"7009 Evans Town Center Blvd.","Evans",GA,30809
25,"Hardy Appraisal Co.",,7068556730,,"P.O. Box  212538","Martinez",GA,30917
26,"Woodward & Associates",,8036139800,,"217 Edgefield Road Ste B","North Augusta",SC,29841
27,"Gibbs Realty & Auction Co.",,8037507240,,"402 East 2nd Avenue","Easley",SC,29640
29,"Wagener Ins. Agency & Realty Inc.",,8035646217,,"113 Park Street, NE","Wagener",SC,29164
30,"Premier Realty",,8036432790,,"1528 University Parkway","Aiken",SC,29801
31,"Real Estate Appraisal Services",,8882419054,,"PO Box 2744","Aiken",SC,29802
32,"The Benchmark-Augusta/Aiken",WWW.THEBENCHMARKGROUP.COM,9122013724,,"615 Roswell St","Marietta",GA,30060
35,"Coldwell Banker Dufour Realty",www.durealty.com,8036485339,,"1908-B Pawnee Street","Aiken",SC,29803
38,"Aiken Homes Realty",www.AikenHomes.net,8036461823,,"102 Robinwood Drive","Aiken",SC,29803
40,"Meybohm Realtors - Augusta",,7067360703,,"3519 Wheeler Road","Augusta",GA,30909
