Main,Office ID,"Office Name",Web Address,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
8036370079,4,"EDGEFIELD SOUTHERN REALTY",www.edgefieldsouthernrealty.com,8036370065,"307 Main St","EDGEFIELD",SC,29824
8034418300,5,"OLDE SOUTH PROPERTIES & INVESTMENTS",,8034418399,"106 A East Martintown Rd","North Augusta",SC,29841
7068337259,6,"ROMAN REALTY, LLC",,7066500755,"3802 WASHINGTON ROAD","AUGUSTA",GA,30907
7063062901,7,"TREAMMACKLIN REALTY, LLC",,,"1585 AVALON AVE","AUGUSTA",GA,30909
8033007961,8,"DREAMSCAPE REALTY",,8005173114,"5940 SPRINGFIELD ROAD","WILLISTON",SC,29853
7068286500,14,"HOLLINGSWORTH APPRAISAL",,7068280175,"935 JONES STREET","AUGUSTA",GA,30901
7063949527,15,"RITCH REALTY",,7066502325,"713 GENTLEWIND LANE","MARTINEZ",GA,30907
6783441600,16,"CLICKIT REALTY INC",www.clickitrealtyinc.com,4048570328,"440 BELGRAVE LANE","TUCKER",GA,30084
7062100494,17,"BRAGG & ASSOCIATES REAL ESTATE, LLC",www.braggandassoc.com,7062100496,"3685 Old Petersburg Road","Augusta",GA,30907
8036487653,18,"MEYBOHM REALTORS - AIKEN",www.meybohm.com,8036497897,"1070 SILVER BLUFF RD","AIKEN",SC,29803
7063593930,21,"CLAY TURNER REALTY",www.turnerrealty.us,7063591135,"P.O. BOX 247","LINCOLNTON",GA,30817
7065952200,22,"THOMSON - MCDUFFIE REALTY COMPANY",,7065950900,"1593 WASHINGTON RD","THOMSON",GA,30824
2564284545,24,"BANTON VALUATION DIVISION - TRANSUNION",,2564284564,"2905 WEST CT. BLVDSUITE 119","HUNTSVILLE",AL,35805
7063392676,25,"LYNNE BLANCHARD APPRAISAL",,7065955545,"4368 Hwy. 220 West","Lincolnton",GA,30817
7067225565,31,"BLANCHARD and CALHOUN COMMERCIAL",,7067226960,"2743 PERIMETER PKWY","Augusta",GA,309031808
7067227331,32,"BLANCHARD & CALHOUN-BROAD ST",,7067247614,"P.O. Box 1808","Augusta",GA,30903
7068638953,33,"BLANCHARD & CALHOUN-SCOTT NIXON",,7068558685,"601 Scott Nixon","Augusta",GA,30907
7068681000,34,"BLANCHARD & CALHOUN-EVANS",www.blanchardandcalhoun.com,7068631011,"1202 Town Park Lane, Suite 201","Evans",GA,30809
7067363375,35,"MEYBOHM REALTORS-WHEELER RD",meybohm.com,7067360703,"3519 Wheeler Rd","Augusta",GA,30909
7068638218,36,"MEYBOHM REALTORS-EVANS",,7068609078,"6004 Evans Town Center Blvd.","Evans",GA,308094218
8032784437,37,"MEYBOHM REALTORS-NORTH AUGUSTA",meybohm.com,8032795283,"590 W MARTINTOWN ROAD","NORTH  AUGUSTA",SC,29841
7067905828,38,"MEYBOHM REALTORS-HEPHZIBAH",www.meybohm.com,7067987644,"2556 Tobacco Rd.","Hephzibah",GA,30815
7067364295,42,"ASSIST2SELL, BUYERS AND SELLERS RE",www.4augustahomes.com,7062622954,"P.O. BOX 14382","Augusta",GA,30919
7069227500,43,"LEADING EDGE REAL ESTATE",www.leadingedgerealestate.com,7068609431,"141 North Belair Rd.","EVANS",GA,30809
8032320873,45,"ALEXANDER AUCTION & REALTY",,,"149 Sandlewood Way","Warrenville",SC,29851
7065926672,46,"TIMBERLAKE PROPERTIES",,7709999999,"2463 Highway 88","Hephzibah",GA,30815
7069227355,47,"RE/MAX PARTNERS",www.remaxpartnersonline.com,7069227356,"725 INDUSTRIAL PARK DRIVE","EVANS",GA,30809
8032781103,48,"ALL STARS REAL ESTATE",www.realtor.com/greateraugusta/allstarsrealestate,7062783082,"120 FLOYD AVE","NORTH AUGUSTA",SC,29841
7067334205,49,"SAND HILLS PROPERTIES",RossSnellings.com,7067330048,"2935 WALTON WAY","AUGUSTA",GA,30909
7068361139,50,"A A WELCOME HOME REALTY",,0,"P.O. Box 237","Evans",GA,30809
4045955974,51,"CARRIAGE LANE APPRAISALS",,7709999999,"4368 Hwy.  220 West","Lincolnton",GA,30817
,53,"DEPARTMENT OF VETERANS AFFAIRS",,,"730 PEACH TREE ST, N.E.","ATLANTA",,
,54,"HUD",,,"75 SPRING ST","ATLANTA",GA,30303
,55,"NON-MEMBER OFFICE",,,"","",,
7064819003,57,"REDD & ASSOCIATES APPRAISALS",,7067366422,"3540 Wheeler Rd.","Augusta",GA,30909
